"","district_reporting","total_settlements","school_attend_boys_perc","school_attend_girls_perc","no_edu_children_perc","children_removed_perc","no_edu_children","school_not_attend_boys","school_not_attend_girls","children_removed","htr_eie_score","htr_eie_rank","htr_eie_rank_high","protect_incident_extreme_perc","protect_incident_severe_perc","gbv_incidents_perc","phys_injury_perc","no_tazkira_perc","explosive_extreme_perc","explosive_severe_perc","explosive_stress_perc","safety_rating_perc","protect_incident_extreme","protect_incident_severe","gbv_incidents","phys_injury","no_tazkira","explosive_extreme","explosive_severe","explosive_stress","safety_rating","htr_prot_score","htr_prot_rank","htr_prot_rank_high","nutrition_no_access_perc","malnut_extreme_perc","malnut_severe_perc","malnut_stress_perc","nutrition_no_access","malnut_extreme","malnut_severe","malnut_stress","malnutrition_score","htr_nut_score","htr_nut_rank","htr_nut_rank_high","unprotect_water_extreme_perc.x","unprotect_water_severe_perc.x","waste_disposal_severe_perc.x","water_no_access_perc.x","soap_access_perc.x","unprotect_water_extreme.x","unprotect_water_severe.x","waste_disposal_severe.x","water_no_access.x","soap_access.x","htr_wash_score.x","htr_wash_rank.x","htr_wash_high.x","hunger_extreme_perc","hunger_severe_perc","borrow_extreme_perc","borrow_severe_perc","reduced_food_extreme_perc","reduced_food_severe_perc","livestock_impact_extreme_perc","livestock_impact_severe_perc","ag_impact_extreme_perc","ag_impact_severe_perc","hunger_extreme","hunger_severe","borrow_extreme","borrow_severe","reduced_food_extreme","reduced_food_severe","livestock_impact_extreme","livestock_impact_severe","ag_impact_extreme","ag_impact_severe","htr_fsa_score","htr_fsa_rank","htr_fsa_rank_high","unprotect_water_extreme_perc.y","unprotect_water_severe_perc.y","waste_disposal_severe_perc.y","water_no_access_perc.y","soap_access_perc.y","unprotect_water_extreme.y","unprotect_water_severe.y","waste_disposal_severe.y","water_no_access.y","soap_access.y","htr_wash_score.y","htr_wash_rank.y","htr_wash_high.y","shelter_type_severe_perc","no_shelter_open_perc","shelter_destroyed_extreme_perc","shelter_destroyed_severe_perc","nfi_market_perc","shelter_type_severe","no_shelter_open","shelter_destroyed_extreme","shelter_destroyed_severe","nfi_market","htr_esnfi_score","htr_esnfi_rank","htr_esnfi_rank_high","more_people_died_perc","health_functioning_access_perc","health_closed_perc","birth_hospital_perc","health_prio_perc","more_people_died","health_functioning_access","health_closed","birth_hospital","health_prio","htr_health_score","htr_health_rank","htr_health_rank_high","coping_consumed_seed_perc.x","coping_beg_charity_perc.x","coping_sold_land_perc.x","coping_consumed_seed_perc.y","coping_beg_charity_perc.y","coping_sold_land_perc.y"
"1","ab_band",18,0.277777777777778,0.888888888888889,0.277777777777778,0.777777777777778,27.7777777777778,27.7777777777778,177.777777777778,311.111111111111,394.444444444444,4,1,0.944444444444444,0.833333333333333,0.388888888888889,0.611111111111111,0.5,0.444444444444444,0.111111111111111,0.388888888888889,0.277777777777778,283.333333333333,166.666666666667,116.666666666667,183.333333333333,50,133.333333333333,22.2222222222222,38.8888888888889,27.7777777777778,1022.22222222222,4,1,0.666666666666667,0,0.333333333333333,0.277777777777778,66.6666666666667,0,66.6666666666667,27.7777777777778,27.7777777777778,94.4444444444445,4,1,0,0.333333333333333,0.555555555555556,0,0.333333333333333,0,66.6666666666667,55.5555555555556,0,33.3333333333333,155.555555555556,4,1,0,0.111111111111111,0,0.166666666666667,0,0.0555555555555556,0.333333333333333,0.111111111111111,0,0.111111111111111,0,11.1111111111111,0,16.6666666666667,0,5.55555555555556,100,22.2222222222222,0,22.2222222222222,177.777777777778,4,1,0,0.333333333333333,0.555555555555556,0,0.333333333333333,0,66.6666666666667,55.5555555555556,0,33.3333333333333,155.555555555556,4,1,0,0.166666666666667,0,0,0.555555555555556,0,33.3333333333333,0,0,55.5555555555556,88.8888888888889,4,1,0.411764705882353,0.333333333333333,0.5,0.222222222222222,0.333333333333333,82.3529411764706,33.3333333333333,150,22.2222222222222,33.3333333333333,321.241830065359,4,1,0.555555555555556,0.333333333333333,0.722222222222222,0.555555555555556,0.333333333333333,0.722222222222222
"2","alishang",33,0,0.0909090909090909,0.0606060606060606,0.393939393939394,6.06060606060606,0,18.1818181818182,157.575757575758,163.636363636364,4,1,0.545454545454545,0.545454545454545,0.363636363636364,0.636363636363636,0.0303030303030303,0.181818181818182,0.181818181818182,0.181818181818182,0.212121212121212,163.636363636364,109.090909090909,109.090909090909,190.909090909091,3.03030303030303,54.5454545454545,36.3636363636364,18.1818181818182,21.2121212121212,706.060606060606,4,1,0.848484848484849,0.212121212121212,0.393939393939394,0.393939393939394,84.8484848484848,63.6363636363636,78.7878787878788,39.3939393939394,39.3939393939394,124.242424242424,4,1,0.181818181818182,0.181818181818182,0.96969696969697,0.0606060606060606,0,54.5454545454545,36.3636363636364,96.969696969697,12.1212121212121,0,200,4,1,0.0606060606060606,0.242424242424242,0.181818181818182,0.545454545454545,0.0303030303030303,0.121212121212121,0.424242424242424,0.393939393939394,0.0303030303030303,0.424242424242424,12.1212121212121,24.2424242424242,36.3636363636364,54.5454545454545,6.06060606060606,12.1212121212121,127.272727272727,78.7878787878788,9.09090909090909,84.8484848484848,445.454545454545,4,1,0.181818181818182,0.181818181818182,0.96969696969697,0.0606060606060606,0,54.5454545454545,36.3636363636364,96.969696969697,12.1212121212121,0,200,4,1,0,0.303030303030303,0,0.181818181818182,0.909090909090909,0,60.6060606060606,0,36.3636363636364,90.9090909090909,187.878787878788,4,1,0.791666666666667,0,0.0606060606060606,0.272727272727273,0.636363636363636,158.333333333333,0,18.1818181818182,27.2727272727273,63.6363636363636,267.424242424242,4,1,0.935483870967742,0.393939393939394,0.878787878787879,0.935483870967742,0.393939393939394,0.878787878787879
"3","almar",36,0.111111111111111,0.555555555555556,0.0833333333333333,0.333333333333333,8.33333333333333,11.1111111111111,111.111111111111,133.333333333333,163.888888888889,4,1,0.0277777777777778,0.305555555555556,0.0555555555555556,0.111111111111111,0.0833333333333333,0,0,0,0.0277777777777778,8.33333333333333,61.1111111111111,16.6666666666667,33.3333333333333,8.33333333333333,0,0,0,2.77777777777778,130.555555555556,4,1,0.833333333333333,0,0.138888888888889,0.861111111111111,83.3333333333333,0,27.7777777777778,86.1111111111111,86.1111111111111,169.444444444444,4,1,0.194444444444444,0.111111111111111,1,0.0555555555555556,0,58.3333333333333,22.2222222222222,100,11.1111111111111,0,191.666666666667,4,1,0,0.111111111111111,0.138888888888889,0.638888888888889,0.0555555555555556,0.666666666666667,0,0.0555555555555556,0,0.0277777777777778,0,11.1111111111111,27.7777777777778,63.8888888888889,11.1111111111111,66.6666666666667,0,11.1111111111111,0,5.55555555555556,197.222222222222,4,1,0.194444444444444,0.111111111111111,1,0.0555555555555556,0,58.3333333333333,22.2222222222222,100,11.1111111111111,0,191.666666666667,4,1,0.138888888888889,0.25,0,0.138888888888889,0.888888888888889,27.7777777777778,50,0,27.7777777777778,88.8888888888889,194.444444444445,4,1,0.0833333333333333,0.388888888888889,0.222222222222222,0.444444444444444,0.777777777777778,16.6666666666667,38.8888888888889,66.6666666666667,44.4444444444444,77.7777777777778,244.444444444444,4,1,0.972222222222222,0.916666666666667,1,0.972222222222222,0.916666666666667,1
"4","andar",44,0.136363636363636,0.976744186046512,0.204545454545455,0.977272727272727,20.4545454545455,13.6363636363636,195.348837209302,390.909090909091,438.636363636364,4,1,1,0.818181818181818,0.318181818181818,0.0681818181818182,0,0.204545454545455,0.204545454545455,0.0227272727272727,0.0681818181818182,300,163.636363636364,95.4545454545455,20.4545454545455,0,61.3636363636364,40.9090909090909,2.27272727272727,6.81818181818182,690.909090909091,4,1,0.909090909090909,0.181818181818182,0.454545454545455,0.363636363636364,90.9090909090909,54.5454545454545,90.9090909090909,36.3636363636364,36.3636363636364,127.272727272727,4,1,0,0.0454545454545455,0.954545454545455,0.340909090909091,0,0,9.09090909090909,95.4545454545455,68.1818181818182,0,172.727272727273,4,1,0,0.0454545454545455,0.159090909090909,0.704545454545455,0.318181818181818,0.545454545454545,0.113636363636364,0.159090909090909,0.0681818181818182,0.568181818181818,0,4.54545454545455,31.8181818181818,70.4545454545455,63.6363636363636,54.5454545454545,34.0909090909091,31.8181818181818,20.4545454545455,113.636363636364,425,4,1,0,0.0454545454545455,0.954545454545455,0.340909090909091,0,0,9.09090909090909,95.4545454545455,68.1818181818182,0,172.727272727273,4,1,0,0.795454545454545,0.0227272727272727,0.0454545454545455,0.931818181818182,0,159.090909090909,6.81818181818182,9.09090909090909,93.1818181818182,268.181818181818,4,1,0.0227272727272727,0.727272727272727,0.181818181818182,0.704545454545455,0.613636363636364,4.54545454545455,72.7272727272727,54.5454545454545,70.4545454545455,61.3636363636364,263.636363636364,4,1,0.977272727272727,0.136363636363636,0.818181818181818,0.977272727272727,0.136363636363636,0.818181818181818
"5","andkhoy",22,0.181818181818182,0.318181818181818,0.681818181818182,0.727272727272727,68.1818181818182,18.1818181818182,63.6363636363636,290.909090909091,395.454545454546,4,1,0.0454545454545455,0.0909090909090909,0.181818181818182,0.409090909090909,0,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.181818181818182,13.6363636363636,18.1818181818182,54.5454545454545,122.727272727273,0,27.2727272727273,9.09090909090909,9.09090909090909,18.1818181818182,272.727272727273,4,1,0.318181818181818,0.136363636363636,0.818181818181818,0.0454545454545455,31.8181818181818,40.9090909090909,163.636363636364,4.54545454545455,4.54545454545455,36.3636363636363,4,1,0,0.590909090909091,0.681818181818182,0.0909090909090909,0.0454545454545455,0,118.181818181818,68.1818181818182,18.1818181818182,4.54545454545455,209.090909090909,4,1,0,0,0,0.136363636363636,0.0454545454545455,0.181818181818182,0.454545454545455,0,0.0454545454545455,0.454545454545455,0,0,0,13.6363636363636,9.09090909090909,18.1818181818182,136.363636363636,0,13.6363636363636,90.9090909090909,281.818181818181,4,1,0,0.590909090909091,0.681818181818182,0.0909090909090909,0.0454545454545455,0,118.181818181818,68.1818181818182,18.1818181818182,4.54545454545455,209.090909090909,4,1,0,0.136363636363636,0,0.272727272727273,0.772727272727273,0,27.2727272727273,0,54.5454545454545,77.2727272727273,159.090909090909,4,1,0.181818181818182,0.181818181818182,0.0454545454545455,0.181818181818182,0.454545454545455,36.3636363636364,18.1818181818182,13.6363636363636,18.1818181818182,45.4545454545455,131.818181818182,4,1,1,1,0.818181818181818,1,1,0.818181818181818
"6","arghandab_zabul",32,0.580645161290323,0.862068965517241,0.59375,0,59.375,58.0645161290323,172.413793103448,0,175.504032258065,4,1,0.59375,0.8125,0.15625,0,0.0625,0,0,0,0,178.125,162.5,46.875,0,6.25,0,0,0,0,393.75,4,1,0.90625,0,0,0.9375,90.625,0,0,93.75,93.75,184.375,4,1,0.625,0.21875,0.125,0,0.2,187.5,43.75,12.5,0,20,263.75,4,1,0,0.09375,0.03125,0.34375,0,0.09375,0,0.09375,0,0.0625,0,9.375,6.25,34.375,0,9.375,0,18.75,0,12.5,90.625,4,1,0.625,0.21875,0.125,0,0.2,187.5,43.75,12.5,0,20,263.75,4,1,0,0.03125,0,0.0625,1,0,6.25,0,12.5,100,118.75,4,1,0.615384615384615,0.78125,0.0344827586206897,1,0.34375,123.076923076923,78.125,10.3448275862069,100,34.375,345.92175066313,4,1,0.928571428571429,0.739130434782609,0.44,0.928571428571429,0.739130434782609,0.44
"7","arghestan",49,0.26530612244898,0.918367346938776,0.836734693877551,0.324324324324324,83.6734693877551,26.530612244898,183.673469387755,129.72972972973,266.464423607281,4,1,0.877551020408163,0.857142857142857,0.73469387755102,0.775510204081633,0.693877551020408,0.673469387755102,0.673469387755102,0.571428571428571,0.530612244897959,263.265306122449,171.428571428571,220.408163265306,232.65306122449,69.3877551020408,202.040816326531,134.69387755102,57.1428571428571,53.0612244897959,1404.08163265306,4,1,0.959183673469388,0.122448979591837,0.571428571428571,0.306122448979592,95.9183673469388,36.734693877551,114.285714285714,30.6122448979592,30.6122448979592,126.530612244898,4,1,0.163265306122449,0.489795918367347,1,0.142857142857143,0.377777777777778,48.9795918367347,97.9591836734694,100,28.5714285714286,37.7777777777778,313.28798185941,4,1,0.122448979591837,0.387755102040816,0.244897959183673,0.489795918367347,0.285714285714286,0.224489795918367,0.428571428571429,0.346938775510204,0.122448979591837,0.142857142857143,24.4897959183673,38.7755102040816,48.9795918367347,48.9795918367347,57.1428571428571,22.4489795918367,128.571428571429,69.3877551020408,36.734693877551,28.5714285714286,504.081632653061,4,1,0.163265306122449,0.489795918367347,1,0.142857142857143,0.377777777777778,48.9795918367347,97.9591836734694,100,28.5714285714286,37.7777777777778,313.28798185941,4,1,0,0.510204081632653,0,0.0612244897959184,0.854166666666667,0,102.040816326531,0,12.2448979591837,85.4166666666667,199.702380952381,4,1,0.764705882352941,0.918367346938776,0.0204081632653061,0.918367346938776,0.73469387755102,152.941176470588,91.8367346938776,6.12244897959184,91.8367346938776,73.469387755102,416.206482593037,4,1,0.473684210526316,0.75,0.3125,0.473684210526316,0.75,0.3125
"8","baghlan_e_jadid",47,0.0638297872340425,0.723404255319149,0.0425531914893617,0.234042553191489,4.25531914893617,6.38297872340426,144.68085106383,93.6170212765958,110.638297872341,4,1,0.25531914893617,0.957446808510638,0.957446808510638,0.170212765957447,0,0.148936170212766,0.446808510638298,0.425531914893617,0,76.5957446808511,191.489361702128,287.234042553192,51.063829787234,0,44.6808510638298,89.3617021276596,42.5531914893617,0,782.978723404256,4,1,0.319148936170213,0,0,1,31.9148936170213,0,0,100,100,131.914893617021,4,1,0.191489361702128,0.276595744680851,0.404255319148936,0.170212765957447,0,57.4468085106383,55.3191489361702,40.4255319148936,34.0425531914894,0,187.234042553192,4,1,0,0.0212765957446809,0,0,0,0,0.191489361702128,0.361702127659574,0.0425531914893617,0,0,2.12765957446809,0,0,0,0,57.4468085106383,72.3404255319149,12.7659574468085,0,144.68085106383,4,1,0.191489361702128,0.276595744680851,0.404255319148936,0.170212765957447,0,57.4468085106383,55.3191489361702,40.4255319148936,34.0425531914894,0,187.234042553192,4,1,0.148936170212766,0,0,0,0.170212765957447,29.7872340425532,0,0,0,17.0212765957447,46.8085106382979,4,1,0.0217391304347826,0.127659574468085,0.0638297872340425,0.106382978723404,0.148936170212766,4.34782608695652,12.7659574468085,19.1489361702128,10.6382978723404,14.8936170212766,61.7946345975948,4,1,0.936170212765957,0.191489361702128,0.787234042553192,0.936170212765957,0.191489361702128,0.787234042553192
"9","baghran",38,0.894736842105263,1,0.894736842105263,0.0263157894736842,89.4736842105263,89.4736842105263,200,10.5263157894737,278.947368421053,4,1,0.447368421052632,0.447368421052632,0.289473684210526,0.5,0.289473684210526,0,0,0,0,134.210526315789,89.4736842105263,86.8421052631579,150,28.9473684210526,0,0,0,0,489.473684210526,4,1,0.868421052631579,0.710526315789474,0.210526315789474,0.0789473684210526,86.8421052631579,213.157894736842,42.1052631578947,7.89473684210526,213.157894736842,300,4,1,0.0526315789473684,0.131578947368421,0.973684210526316,0.263157894736842,0.0789473684210526,15.7894736842105,26.3157894736842,97.3684210526316,52.6315789473684,7.89473684210526,200,4,1,0.0263157894736842,0.289473684210526,0.0263157894736842,0.394736842105263,0.0789473684210526,0.263157894736842,0.210526315789474,0.157894736842105,0.0526315789473684,0.157894736842105,5.26315789473684,28.9473684210526,5.26315789473684,39.4736842105263,15.7894736842105,26.3157894736842,63.1578947368421,31.5789473684211,15.7894736842105,31.5789473684211,263.157894736842,4,1,0.0526315789473684,0.131578947368421,0.973684210526316,0.263157894736842,0.0789473684210526,15.7894736842105,26.3157894736842,97.3684210526316,52.6315789473684,7.89473684210526,200,4,1,0,0.473684210526316,0,0,0.921052631578947,0,94.7368421052632,0,0,92.1052631578947,186.842105263158,4,1,0.333333333333333,0.710526315789474,0.0526315789473684,0.921052631578947,0.631578947368421,66.6666666666667,71.0526315789474,15.7894736842105,92.1052631578947,63.1578947368421,308.771929824561,4,1,0.771428571428571,0.736842105263158,0.805555555555556,0.771428571428571,0.736842105263158,0.805555555555556
"10","bakwa",25,0.64,1,0.64,0.142857142857143,64,64,200,57.1428571428571,249.142857142857,4,1,0.32,0.92,0,0.32,0,0,0.04,0,0.04,96,184,0,96,0,0,8,0,4,388,4,1,0.4,0.04,0.16,0.4,40,12,32,40,40,80,4,1,0,0.12,0.96,0,0.16,0,24,96,0,16,136,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.12,0.96,0,0.16,0,24,96,0,16,136,4,1,0,0,0,0,0.72,0,0,0,0,72,72,4,1,0.357142857142857,0.36,0.04,0.4,0.8,71.4285714285714,36,12,40,80,239.428571428571,4,1,0.16,0,0.166666666666667,0.16,0,0.166666666666667
