"","district_reporting","protect_incident_extreme_perc","protect_incident_severe_perc","gbv_incidents_perc","phys_injury_perc","no_tazkira_perc","explosive_extreme_perc","explosive_severe_perc","explosive_stress_perc","safety_rating_perc","protect_incident_extreme","protect_incident_severe","gbv_incidents","phys_injury","no_tazkira","explosive_extreme","explosive_severe","explosive_stress","safety_rating","htr_prot_score","htr_prot_rank","htr_prot_rank_high"
"1","ab_band",0.944444444444444,0.833333333333333,0.388888888888889,0.611111111111111,0.5,0.444444444444444,0.111111111111111,0.388888888888889,0.277777777777778,6,4,3,6,1,3,0,1,2,26,3,1
"2","alishang",0.545454545454545,0.545454545454545,0.363636363636364,0.636363636363636,0.0303030303030303,0.181818181818182,0.181818181818182,0.181818181818182,0.212121212121212,6,4,3,6,0,0,0,0,0,19,2,0
"3","almar",0.0277777777777778,0.305555555555556,0.0555555555555556,0.111111111111111,0.0833333333333333,0,0,0,0.0277777777777778,0,2,0,0,0,0,0,0,0,2,1,0
"4","andar",1,0.818181818181818,0.318181818181818,0.0681818181818182,0,0.204545454545455,0.204545454545455,0.0227272727272727,0.0681818181818182,6,4,3,0,0,0,0,0,0,13,2,0
"5","andkhoy",0.0454545454545455,0.0909090909090909,0.181818181818182,0.409090909090909,0,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.181818181818182,0,0,0,3,0,0,0,0,0,3,1,0
"6","arghandab_zabul",0.59375,0.8125,0.15625,0,0.0625,0,0,0,0,6,4,0,0,0,0,0,0,0,10,1,0
"7","arghestan",0.877551020408163,0.857142857142857,0.73469387755102,0.775510204081633,0.693877551020408,0.673469387755102,0.673469387755102,0.571428571428571,0.530612244897959,6,4,6,6,2,6,4,2,4,40,4,1
"8","baghlan_e_jadid",0.25531914893617,0.957446808510638,0.957446808510638,0.170212765957447,0,0.148936170212766,0.446808510638298,0.425531914893617,0,3,4,6,0,0,0,2,1,0,16,2,0
"9","baghran",0.447368421052632,0.447368421052632,0.289473684210526,0.5,0.289473684210526,0,0,0,0,3,2,3,3,1,0,0,0,0,12,2,0
"10","bakwa",0.32,0.92,0,0.32,0,0,0.04,0,0.04,3,4,0,3,0,0,0,0,0,10,1,0
